course_id,course_item_id,assessment_id
"POZJ3uOtEeSoXCIACw4Gzg","1r2Gs","Qhctr-OtEeS_7SIACxCfaQ@1"
"POZJ3uOtEeSoXCIACw4Gzg","gX8vK","2vkPlgjgEeWRIiIAC9lFJw@2"
"POZJ3uOtEeSoXCIACw4Gzg","JiH1W","86CCsYfPEeSb9SIACzCJlg@1"
"POZJ3uOtEeSoXCIACw4Gzg","QM64G","Qrwf7uOtEeS_7SIACxCfaQ@1"
"POZJ3uOtEeSoXCIACw4Gzg","HD5V6","Q0nhveOtEeS_7SIACxCfaQ@2"
"POZJ3uOtEeSoXCIACw4Gzg","8fVvc","P6ATluOtEeS_7SIACxCfaQ@2"
"POZJ3uOtEeSoXCIACw4Gzg","js8wk","Qy9U0-OtEeS_7SIACxCfaQ@1"
"POZJ3uOtEeSoXCIACw4Gzg","iFuUg","P7GfzOOtEeS_7SIACxCfaQ@7"
"POZJ3uOtEeSoXCIACw4Gzg","QM64G","Qrwf7uOtEeS_7SIACxCfaQ@3"
"POZJ3uOtEeSoXCIACw4Gzg","Vxdg2","QPyVu-OtEeS_7SIACxCfaQ@2"
"POZJ3uOtEeSoXCIACw4Gzg","cFvam","QO4Wx-OtEeS_7SIACxCfaQ@1"
