taiwan_user_id,course_id,met_payment_condition,was_payment,was_finaid_grant,was_group_sponsored
e757152fa4ed137a5e5091e0632930aaec6b3fd9,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
35ce9e3d12c1a47b0b7ff675892a8c217ba5ba6a,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
af6007699bb39c561502362c9eba3a86e8449641,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
b75d4da5f80ff695882e34eee345e775f2b823e4,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
1a181b094d6fe97fc1f696ebb284f2ffde5818e7,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
601ac556b183e2d0ab1289bcbadd9523641f72b5,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
12cd14ea2a848012e9c59f1ff109e53a84a11bff,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
eae70d2156f3bea9494045de0aad5fdada0b0f12,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
5f9b2e769e6fe4a673ceac3ea3eee7efe88b6437,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
72878536b629dfa417168fd50cfc770bbc7f8c51,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
7b66373b4cf31cefb3c7cb375a53bdcec2f181b8,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
7fd3ca89ccb5da8bc5d0ac3bb9bfbbfd41e81ca9,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
b1e2677662b7d59e00906759b2ab03fadb0e9436,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
9a9411367321dd841dadf4f32dce11063ddbfad5,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
73f483b45ee9d30329cbf59b332172321c3b1ded,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
87368d9b951724bdb94a2692b931e4d98e26b04d,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
82d4b71394990f4dd82891fe25620e34ed2ff5de,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
eeb266bb7d54401e5cee65598207a1cfe5ca9fbb,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
a0a4d97c1b5c3e82e937eae6ced0d816df0a44f2,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
5cfe50bb8922a281b756e9f7509508b7eceac940,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
89fcda103a8aa5fe0d8a7e43c4cae929b34273f3,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
a74c3a5122cb1fcaa723537f26347ee7afe770dd,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
4b6155cb758623b4c3ee0f7982ad7f4568f48f45,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
aa8833d973438cc5d23b650607bf6bd310c84afb,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
efc08b42e4b6eefb2d5046855af7870c38371f1d,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
8bc29329431685a91db9a013d9c1b1e6ad6721fb,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
e8896330bc621ff0c15d227c31d8eff2663abea0,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
90e7c06ef8f56a4c563fef88570416d277440fa2,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
c3c94ab46fcb283e280849bbd21bea40d850b93c,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
f81b020f440b6d86ae8fa799abc59f9f1bebda18,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
581fe3b59edac2d7ca6a02d38bf2ea95f0b2c623,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
0f33af0f23f2a8aa5eef01fa400a8c1f0ec04ea2,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
303be557d5bc37a346d937fa7307ffeb236f42d5,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
58522cbb19d12171b066aee5406f771d41cf4475,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
f3a3d4ec5f451f6b6d254e49be358eb9766e1506,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
6923075960ba0d38d27b7f2526f06b726dcf442b,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
d0acc42c49e66207abbc207fffd483f098dff6e5,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
c7d13d6685c3dde4ba30394f4e2ce1605c5ba5a2,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
bc8d4ba290fe5e39a0b6bdfe54d1edd0662ee196,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
f78dd521e9b4a6b8433bb2a469d1b5882a59a042,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
f6742dfa01a5fbcecb03d0c2eb9a203e50ba68a0,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
